Subject,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10,11,12,13,14,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10
130,B,C,B,D,E,B,D,D,F,,B,,,BE,AE,AD,CE,BE,AE,AB,AE,AD,BD,BD,BC,AB,BE,E,E,E,B,C,D,E,E,A,,,,,B,A,D,D,B,A,B,D,,
125,B,C,B,D,E,D,D,D,F,C,,,,BE,AE,AD,,BE,AD,BE,BE,AE,AD,BD,,AB,BE,E,E,E,B,,D,E,E,,,,,,B,A,D,D,E,,B,D,,
124,B,C,B,D,E,B,D,B,F,C,A,,,BE,AE,AD,BD,BE,BD,BE,BE,CE,BD,,,AE,,E,E,E,B,C,D,E,E,A,,,,,B,A,D,D,A,,C,D,C,D
123,B,C,B,D,E,B,D,B,F,C,,,,BE,AE,AD,,BE,AD,AB,BE,CE,AD,DB,DE,AE,,E,E,E,B,,D,E,F,,,,,,B,A,D,D,,,C,C,E,
122,B,C,B,D,E,B,D,B,F,,,,,BE,EA,AD,BD,BE,AD,CE,BE,BD,DB,DE,AE,CD,,E,E,E,B,F,D,E,E,A,,,,,B,A,D,D,D,A,C,B,A,D
121,C,C,B,D,E,B,D,B,F,C,,,,BE,AE,AD,BD,BE,AD,AB,BE,BD,BD,DE,CD,BC,,E,E,E,B,F,D,E,E,,,,,,B,A,D,D,A,A,A,,,
120,B,C,B,D,E,B,D,B,F,,,,,BE,AE,AD,CE,BE,AD,BE,BE,AD,BD,AE,CD,AC,,E,E,E,B,C,D,E,,,,,,,B,A,D,D,A,A,C,,,
95,B,C,B,D,E,D,,E,F,,B,,,BE,AE,AD,CE,BE,AE,BE,AD,AD,BD,AE,,AC,,E,E,E,B,F,D,E,E,,,,,,B,A,D,D,C,B,C,C,A,
94,B,C,B,D,E,B,D,B,F,,B,,,BE,AE,AD,CE,BE,AE,BE,BE,AD,BD,AE,CD,AC,DE,E,E,E,B,B,D,E,E,A,,,,,B,A,D,D,A,B,C,D,A,D
91,B,C,B,D,E,B,D,B,,,,,,BE,AE,AD,BD,AE,AD,AB,BD,AD,AD,BD,BC,AB,CD,E,E,E,B,C,D,E,F,,,,,,B,A,D,D,A,D,B,D,,
89,A,C,B,D,E,D,F,B,A,D,E,E,B,BE,AE,AD,CE,BE,AD,BE,BE,AD,AD,BE,AB,AC,BD,E,A,E,B,C,D,E,E,A,D,,,,B,A,D,D,A,E,C,D,C,B
87,C,A,B,D,E,B,,B,F,,,,,BE,AE,AD,CE,BE,AD,CD,AE,,,,,,,E,E,E,B,C,D,,,,,,,,B,A,D,B,A,E,B,D,,
86,B,C,B,D,E,B,D,E,A,C,,,,BE,AE,AD,CE,BE,AD,CD,BD,AD,BD,,,CD,,E,E,E,E,F,D,E,,,,,,,B,A,D,D,A,,,,,
85,B,C,B,D,E,D,D,B,A,A,B,,,BE,AE,AD,AD,BE,AD,BE,CD,AD,BD,,CD,BC,,E,E,E,B,F,D,E,E,E,,,,,B,A,D,D,A,A,C,C,A,D
80,B,C,B,D,E,B,D,E,F,,A,,,BE,AE,AD,CE,BE,AD,BE,BE,AD,DB,,CD,,,E,A,A,B,C,D,E,E,A,,,,,B,A,D,D,A,E,C,D,C,
79,B,C,B,D,E,B,D,B,A,,,,,BE,AE,AD,CE,BE,AD,BE,BE,AD,BD,AE,CD,AE,,E,E,E,B,,,,,,,,,,B,A,D,D,A,B,C,D,A,
76,B,C,B,D,A,B,F,B,F,C,B,,,BE,AE,AD,CE,AC,AD,BE,BE,BD,AD,AE,CD,AC,,E,E,E,B,D,D,E,F,E,B,,,,B,A,D,D,A,E,C,C,,
73,B,C,B,A,E,B,F,B,C,C,B,,,BE,AE,AD,BD,BE,BC,BE,BE,BC,BD,CE,CD,DE,BC,A,E,E,B,E,E,E,E,D,F,,,,B,A,D,D,B,A,C,A,A,
115,B,C,B,D,E,B,D,B,F,,,,,BE,AE,AD,CE,BE,AD,AB,AE,AD,DE,AC,AE,AC,BE,E,E,E,B,F,C,E,E,D,E,E,B,A,B,A,D,D,B,E,A,C,,
