TrialNumber	stim0	stim1	stim2	stim3	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
11	O	D	C	C	D	4	1	shapes	D	4	True	4	(4.0779391319251026, -1.1549092554406899)	(0.31911428678631992, 5.26847666112665)	(-0.17006954407537833, -1.9745856795072934)	(-3.8103435005772042, 1.7989311540921786)	1.0	slash	1.37653
12	P	C	D	C	O	8	3	shapes	C	4	False	4	(-4.1062602988795005, 0.19926284135088324)	(-3.7763303055951214, 8.6929167114671628)	(3.8842336596751341, 6.1520508194887356)	(0.96691323759913494, -3.6081805573718659)	1.0	slash	1.17812
13	O	C	O	D	P	4	0	shapes	O	4	False	4	(-7.4151235419492831, 3.2031917501616221)	(2.2215558830077544, 8.5429715075241539)	(1.8493165484084795, -6.4362015382702715)	(-8.0808999894968228, -3.0789302486825925)	1.0	slash	1.29574
14	P	D	D	D	D	4	0	shapes	P	4	False	4	(3.2878084663478528, -6.5223104132996994)	(3.4854164055526642, 1.562547931136093)	(-3.507185188277731, 1.6269903290635455)	(-4.9452591150508072, -6.1662730217224526)	1.0	slash	1.01564
15	P	C	D	C	P	8	0	shapes	P	4	True	4	(-6.2748517444004541, 3.1079100021726767)	(2.5460171045196986, -6.5541357980558761)	(7.1549282558083735, -4.0205599543156092)	(-3.9377073341530808, 7.1169757601116377)	1.0	z	0.969036
16	O	C	O	C	O	4	0	shapes	O	4	True	4	(-0.92407419302193361, 5.1959737572990559)	(-4.406338210366779, -6.1130795662522681)	(8.5607870904176089, 6.2562156279338854)	(8.5458153878303769, -0.49488869891334097)	1.0	z	1.26476
17	P	C	P	D	P	4	0	shapes	P	4	True	4	(1.1068228430878211, 7.6829563435862447)	(7.7135819032188984, -7.4383130836785272)	(-1.456137290450374, -4.0057853130536785)	(-5.3219824958230681, 0.23437301216409168)	1.0	z	0.581995
18	O	C	O	O	P	4	2	shapes	O	4	False	4	(7.5708833405899121, -1.2781706316098536)	(-0.91439491701532027, 0.43404405107976451)	(5.0805410307497034, 4.3788988404451317)	(-8.0367950983435925, -1.7156245901411191)	1.0	slash	0.867898
19	O	C	O	C	O	8	1	shapes	C	4	False	4	(8.6228525633291966, -6.6341604990318128)	(-4.2384810046636536, -3.8882052876266533)	(-4.0038701044062677, 8.5641826114690502)	(-4.4555795605650781, -8.449835105044242)	1.0	slash	1.00358
20	O	C	O	O	O	8	3	shapes	O	4	True	4	(-1.3857953654307238, -6.8164976026114923)	(-6.6246399008574839, 5.9297342337004633)	(1.7258324476857112, 4.6458686918021375)	(7.3485772508674287, -2.1367403558866869)	1.0	z	0.815202
21	O	D	D	C	O	8	0	shapes	O	4	True	4	(-4.88780850387786, -7.8856855280495886)	(-2.5303432935578378, 3.2261917958197817)	(-6.3186381214472505, -4.1397507181936701)	(7.7239853128602576, -4.6563663023374291)	1.0	z	0.920825
22	P	C	O	O	D	8	7	shapes	D	4	True	4	(-6.7422889596148448, 8.5828541740527875)	(-5.838530698787423, -3.3154966006279771)	(3.8715435546702839, -5.381848631600473)	(8.4740666274269287, -0.61221412536640685)	1.0	slash	0.77261
23	O	C	P	C	O	8	3	shapes	C	4	False	4	(-0.12497965098229713, 5.9573482236411248)	(7.9892377647797694, -7.3882557818770653)	(-4.2716128661350101, 7.3195535064465211)	(2.7730075719186527, -0.32201850741030746)	1.0	slash	0.974226
24	P	C	O	C	C	8	3	shapes	C	4	True	4	(6.9891491809246453, 6.9376542136591777)	(-2.2399436217741586, 1.5081378669879673)	(2.0045002364955327, -5.7523526409057393)	(6.7381803421677748, -2.9000179498977126)	1.0	z	0.775614
25	P	D	C	C	C	8	5	shapes	C	4	True	4	(-0.74926102796078453, 1.578787747643446)	(-1.2980106610923494, 6.5364137966904376)	(4.9546295933383568, -1.1195105439125248)	(-3.7457058608218459, -6.0123092453105436)	1.0	z	0.823371
26	O	D	C	C	O	4	3	shapes	C	4	False	4	(-6.432207288823685, -5.9833503908516477)	(-4.3471727634606134, 8.2801480352602184)	(8.0549289634393588, -4.3310240478218347)	(3.0609555604528467, 2.0107622317931764)	1.0	slash	0.893083
27	O	C	D	P	C	4	1	shapes	C	4	True	4	(1.3389326855815522, -3.1552251698782179)	(-2.5196841616710968, 7.0547844924215966)	(-3.4363336001148594, -5.0191195215800697)	(7.0526427302534387, 2.4837625598323356)	1.0	z	0.884812
28	O	D	D	C	O	4	1	shapes	D	4	False	4	(6.5777935181927081, 3.9762068433301163)	(-2.9723966619625966, 4.3297648232587562)	(-3.3441559959063918, -5.5756359123936328)	(4.8773504377080048, -3.3431225008836689)	1.0	slash	0.765962
29	P	D	D	P	C	8	0	shapes	P	4	False	4	(2.9923322648594599, -3.4025772672089909)	(2.7772578411051203, 7.9055117166210458)	(6.1383072552810169, 4.8668183467879018)	(-3.0012233771188823, 0.52054737643663174)	1.0	slash	1.13003
30	P	D	O	D	P	8	2	shapes	O	4	False	4	(-8.2136296036299665, 5.3007127813684445)	(4.8292948196753791, 3.4143144848099247)	(3.1422101417806356, -3.7856472889682333)	(8.7080452611598034, 5.0683565304701119)	1.0	slash	1.67771
31	P	D	C	D	D	4	0	shapes	P	4	False	4	(-3.5075277375997418, 1.0583675474460232)	(6.9757887490364645, -3.370637985124044)	(-4.1280308072499716, -6.4286553457188358)	(0.20303442090738422, 3.5645048356165265)	1.0	slash	1.80728
32	O	C	O	O	D	8	4	shapes	P	4	False	4	(4.6220326003668042, -5.9042143791576276)	(-7.9873861177548733, 1.8224826281928177)	(6.577758316835439, 3.1243053285303635)	(-5.6576917511041991, -1.8874435010701367)	1.0	slash	2.73882
1	Q	F	R	R	E	4	0	shapes	Q	5	False	4	(5.5255509630351902, -5.6081447917447349)	(-6.8745361916197698, -3.6443237654060674)	(4.9907272524630635, 7.3944392305597013)	(-7.0076057860057102, 6.5581057644660756)	1.0	slash	0.868378
2	Q	F	Q	F	E	4	1	shapes	F	5	False	4	(-4.4268572761093816, -2.2484422310957468)	(1.3115755341991839, 5.6476510577782673)	(2.2661055045871592, -3.6464426832108483)	(-2.2451218529047363, 3.7876265559709186)	1.0	z	1.23199
3	R	E	Q	E	F	4	1	shapes	E	5	False	4	(2.7736964692301598, 0.96899620999886693)	(1.7169099848380434, -3.3457999197657546)	(-7.1317065257943364, -1.4848269166343542)	(-1.1156951527330143, 8.4081415510444977)	1.0	z	1.41164
4	R	E	R	Q	R	8	2	shapes	R	5	True	4	(3.139300353782378, -2.2038886416583363)	(8.5869016275382926, -0.46193514275307557)	(5.06052926620122, 3.5463118870959853)	(7.6546720840695244, 7.2144421872851225)	1.0	z	1.14929
5	R	E	Q	E	Q	8	2	shapes	Q	5	True	4	(-7.2546952911950378, -1.7412717505706059)	(-4.6819071264122814, -6.323881919672159)	(4.6301143931674247, 4.6544159535575726)	(-5.3284487323439427, 5.0076504569362221)	1.0	z	0.788937
6	R	E	R	F	Q	4	1	shapes	E	5	False	4	(-7.2651523572777776, 6.4485831095591379)	(2.2773450294590596, 7.4961338265374238)	(-0.80192835067134105, -0.34084601044609286)	(4.3481942792890464, -1.7007458340357005)	1.0	z	2.15254
7	Q	E	E	Q	E	4	1	shapes	E	5	True	4	(-1.1694600250538372, 0.2184784896935561)	(-5.8317727434772646, -3.087475451445501)	(5.8584204946836103, -1.1977864571435379)	(5.2854113763682946, 6.2218112849620972)	1.0	z	1.09182
8	R	F	R	R	F	8	5	shapes	F	5	True	4	(1.7356558124536896, -1.1423821554710214)	(8.7073690580093093, 5.6174894650584761)	(2.4763148170951084, 3.8973630760560951)	(-6.823750788055098, 7.6753143240456154)	1.0	z	1.0077
9	Q	F	E	F	R	8	6	shapes	E	5	False	4	(0.50558405328374612, -6.2515780351738872)	(-7.9692343120503173, -1.2704468329321372)	(-3.5087043246609113, -3.6483596228338007)	(7.8470533240992033, -3.0723311898493657)	1.0	z	1.05136
10	R	F	E	Q	E	8	1	shapes	F	5	False	4	(3.6635090945714257, 2.8977365049490551)	(-4.0296129727051877, -4.5612534685868571)	(-2.7961852663287239, 4.5877259269494797)	(3.8791736806252803, -8.5685345082395923)	1.0	z	0.926957
11	Q	E	R	Q	Q	8	3	shapes	Q	5	True	4	(-4.1171549081842951, -6.4682257573136859)	(-5.925922436704294, 6.5161118770890063)	(1.9054523546797473, -2.7237255407575853)	(8.5814973081805555, 5.6565141142627464)	1.0	z	1.70663
